id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,zhangs_metric,kulczynski,imbalance_ratio,cosine
17758,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, LED GROW LIGHT BULB",WATERING CAN GREEN 2L,0.035506,0.114157,0.025169,0.708861,6.209509,0.021115,3.042677,0.869841,0.464667,0.631769,0.395328
17912,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.036404,0.111461,0.025169,0.691358,6.202708,0.021111,2.878867,0.870469,0.458582,0.611722,0.395112
18078,"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.033258,0.107416,0.022022,0.662162,6.16448,0.01845,2.642049,0.866602,0.433592,0.625,0.368452
18310,"AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.03191,0.117303,0.022921,0.71831,6.123523,0.019178,3.133573,0.864274,0.456856,0.676157,0.374646
18320,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL",ORGANIC TOMATO BASIL SAUCE,0.039551,0.109663,0.026517,0.670455,6.113776,0.02218,2.701713,0.870879,0.456129,0.571429,0.402639
18627,"GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.037303,0.117303,0.026517,0.710843,6.059872,0.022141,3.052659,0.867335,0.468449,0.624561,0.40086
18871,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",SET OF 3 CAKE TINS PANTRY,0.034607,0.106067,0.022022,0.636364,5.999615,0.018352,2.458315,0.863195,0.421995,0.602273,0.363492
18964,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.033708,0.111461,0.022472,0.666667,5.981183,0.018715,2.665618,0.86186,0.43414,0.6337,0.366618
18994,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",WHITE HANGING HEART T-LIGHT HOLDER,0.035506,0.110112,0.023371,0.658228,5.977784,0.019461,2.603745,0.863368,0.435236,0.610294,0.373772
19029,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",REGENCY CAKESTAND 3 TIER,0.034607,0.113258,0.023371,0.675325,5.962688,0.019451,2.731164,0.862126,0.440837,0.631769,0.3733
19103,"ALMOND DANISH, CAPPUCCINO CUP & SAUCER, CROISSANT ALL BUTTER",BLUEBERRY SCONE,0.035955,0.107416,0.022921,0.6375,5.934885,0.019059,2.462301,0.862517,0.425445,0.593284,0.36883
19429,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",GARDENING GLOVES PAIR,0.03236,0.117753,0.022472,0.694444,5.897477,0.018661,2.887354,0.858207,0.442642,0.669014,0.364043
19785,"ALMOND DANISH, BLUEBERRY SCONE, CROISSANT ALL BUTTER",CAPPUCCINO CUP & SAUCER,0.033708,0.116854,0.022921,0.68,5.819231,0.018982,2.759831,0.857045,0.438077,0.651408,0.365219
20013,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",ITALIAN EXTRA VIRGIN OLIVE OIL,0.035506,0.115955,0.02382,0.670886,5.785742,0.019703,2.686137,0.857611,0.438156,0.630282,0.371238
20016,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.060674,0.111461,0.039101,0.644444,5.78181,0.032338,2.499017,0.880465,0.497625,0.381757,0.475474
20082,"ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",GARLIC HERB BREADSTICKS,0.040449,0.113708,0.026517,0.655556,5.765261,0.021917,2.573106,0.86139,0.444379,0.573944,0.390994
20263,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",ITALIAN EXTRA VIRGIN OLIVE OIL,0.04,0.115955,0.026517,0.662921,5.717054,0.021879,2.622667,0.859463,0.445802,0.586806,0.389356
20402,"BLUEBERRY SCONE, CROISSANT ALL BUTTER, PAIN AU CHOCOLAT",ALMOND DANISH,0.034157,0.115506,0.022472,0.657895,5.695781,0.018527,2.585445,0.853588,0.426224,0.639576,0.357764
20468,"AGED PARMESAN REGGIANO, ARTISAN PASTA PENNE, ORGANIC TOMATO BASIL SAUCE",GARLIC HERB BREADSTICKS,0.035506,0.113708,0.022921,0.64557,5.67744,0.018884,2.50061,0.854193,0.423575,0.619217,0.360742
20659,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",WATERING CAN GREEN 2L,0.060674,0.114157,0.039101,0.644444,5.645232,0.032175,2.491433,0.876011,0.493482,0.39404,0.469824
20704,"ALMOND DANISH, BLUEBERRY SCONE, CAPPUCCINO CUP & SAUCER",CROISSANT ALL BUTTER,0.033708,0.120899,0.022921,0.68,5.624535,0.018846,2.747191,0.850889,0.434796,0.662116,0.359057
20754,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",WATERING CAN GREEN 2L,0.035056,0.114157,0.022472,0.641026,5.615284,0.01847,2.467705,0.851775,0.418938,0.624113,0.355227
21117,"ALMOND DANISH, BLUEBERRY SCONE, CROISSANT ALL BUTTER",PAIN AU CHOCOLAT,0.033708,0.120449,0.022472,0.666667,5.534826,0.018412,2.638652,0.847907,0.426617,0.658703,0.352673
21609,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, WATERING CAN GREEN 2L",GARDENING GLOVES PAIR,0.039101,0.117753,0.025169,0.643678,5.466351,0.020564,2.475984,0.850311,0.428709,0.59727,0.370918
21711,"ALMOND DANISH, BLUEBERRY SCONE, PAIN AU CHOCOLAT",CROISSANT ALL BUTTER,0.034157,0.120899,0.022472,0.657895,5.441694,0.018342,2.56968,0.8451,0.421884,0.654237,0.349693
21828,ORGANIC TOMATO BASIL SAUCE,ARTISAN PASTA PENNE,0.109663,0.117303,0.069663,0.635246,5.41541,0.056799,2.419977,0.915768,0.614558,0.048571,0.61421
21987,"CERAMIC PLANT POT WHITE, ORGANIC POTTING SOIL 10L",GARDENING GLOVES PAIR,0.055281,0.117753,0.035056,0.634146,5.385403,0.028547,2.411476,0.861963,0.465928,0.452769,0.434502
