id,antecedents,consequents,antecedent_support,consequent_support,support,confidence,lift,leverage,conviction,zhangs_metric,kulczynski,imbalance_ratio,cosine,composite_score,rule_category
38,"AGED PARMESAN REGGIANO, ORGANIC TOMATO BASIL SAUCE","ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS",0.054831,0.065618,0.022921,0.418033,6.370705,0.019323,1.605558,0.891938,0.383674,0.110599,0.382132,0.7069,High-Lift Affinity Pair
39,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS","AGED PARMESAN REGGIANO, ORGANIC TOMATO BASIL SAUCE",0.065618,0.054831,0.022921,0.349315,6.370705,0.019323,1.452575,0.902234,0.383674,0.110599,0.382132,0.6873,High-Lift Affinity Pair
40,"MECHANICAL KEYBOARD, MONITOR LIGHT BAR, USB-C MULTIPORT ADAPTER",LARGE DESK PAD BLACK,0.032809,0.101573,0.021124,0.643836,6.338647,0.017791,2.522506,0.870808,0.4259,0.607143,0.365917,0.7678,High-Confidence Cross-Sell
41,"MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER","LARGE DESK PAD BLACK, MONITOR LIGHT BAR",0.057528,0.057978,0.021124,0.367187,6.333273,0.017788,1.488628,0.893505,0.365764,0.004762,0.365762,0.6867,High-Lift Affinity Pair
42,"LARGE DESK PAD BLACK, MONITOR LIGHT BAR","MECHANICAL KEYBOARD, USB-C MULTIPORT ADAPTER",0.057978,0.057528,0.021124,0.364341,6.333273,0.017788,1.482669,0.893932,0.365764,0.004762,0.365762,0.6859,High-Lift Affinity Pair
43,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",LED GROW LIGHT BULB,0.035056,0.105618,0.023371,0.666667,6.312057,0.019668,2.683146,0.872147,0.443972,0.601533,0.38408,0.7762,High-Confidence Cross-Sell
44,"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY",0.058427,0.059775,0.022022,0.376923,6.305668,0.01853,1.509003,0.893624,0.372672,0.014019,0.372648,0.6891,High-Lift Affinity Pair
45,"HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY","HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",0.059775,0.058427,0.022022,0.368421,6.305668,0.01853,1.490824,0.894906,0.372672,0.014019,0.372648,0.6866,High-Lift Affinity Pair
46,"AGED PARMESAN REGGIANO, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.031011,0.117303,0.022921,0.73913,6.301016,0.019284,3.38367,0.86822,0.467266,0.688172,0.380037,0.7961,High-Confidence Cross-Sell
47,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",WATERING CAN GREEN 2L,0.03191,0.114157,0.022921,0.71831,6.292281,0.019279,3.144742,0.868799,0.459549,0.667883,0.379773,0.7894,High-Confidence Cross-Sell
48,"LED GROW LIGHT BULB, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR",0.060674,0.066067,0.025169,0.414815,6.27866,0.02116,1.595961,0.895036,0.397884,0.053097,0.397523,0.7032,High-Lift Affinity Pair
49,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR","LED GROW LIGHT BULB, WATERING CAN GREEN 2L",0.066067,0.060674,0.025169,0.380952,6.27866,0.02116,1.517373,0.900205,0.397884,0.053097,0.397523,0.6936,High-Lift Affinity Pair
50,"HEART OF WICKER LARGE, HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY",WHITE HANGING HEART T-LIGHT HOLDER,0.03191,0.110112,0.022022,0.690141,6.267606,0.018509,2.87191,0.868152,0.44507,0.651685,0.371521,0.7779,High-Confidence Cross-Sell
51,"GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE","ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL",0.062472,0.067865,0.026517,0.42446,6.254467,0.022277,1.619584,0.896095,0.407594,0.051948,0.407245,0.7065,High-Lift Affinity Pair
52,"ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL","GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",0.067865,0.062472,0.026517,0.390728,6.254467,0.022277,1.538769,0.90128,0.407594,0.051948,0.407245,0.6969,High-Lift Affinity Pair
53,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB, ORGANIC POTTING SOIL 10L",GARDENING GLOVES PAIR,0.03191,0.117753,0.023371,0.732394,6.219761,0.019613,3.296818,0.866885,0.465434,0.679715,0.381262,0.7892,High-Confidence Cross-Sell
54,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER","HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER",0.060225,0.062472,0.023371,0.38806,6.211747,0.019608,1.532058,0.892782,0.38108,0.022624,0.381016,0.6879,High-Lift Affinity Pair
55,"HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER",0.062472,0.060225,0.023371,0.374101,6.211747,0.019608,1.50148,0.894922,0.38108,0.022624,0.381016,0.684,High-Lift Affinity Pair
56,"HEART OF WICKER LARGE, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER SMALL,0.034157,0.10382,0.022022,0.644737,6.210128,0.018476,2.52258,0.868643,0.428429,0.600775,0.369814,0.7605,High-Confidence Cross-Sell
57,"CERAMIC PLANT POT WHITE, GARDENING GLOVES PAIR, LED GROW LIGHT BULB",WATERING CAN GREEN 2L,0.035506,0.114157,0.025169,0.708861,6.209509,0.021115,3.042677,0.869841,0.464667,0.631769,0.395328,0.7843,High-Confidence Cross-Sell
58,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB, WATERING CAN GREEN 2L",CERAMIC PLANT POT WHITE,0.036404,0.111461,0.025169,0.691358,6.202708,0.021111,2.878867,0.870469,0.458582,0.611722,0.395112,0.7786,High-Confidence Cross-Sell
59,"HEART OF WICKER LARGE, HEART OF WICKER SMALL","REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",0.05618,0.060674,0.021124,0.376,6.197037,0.017715,1.50533,0.888551,0.362074,0.046948,0.361806,0.6797,High-Lift Affinity Pair
60,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY","HEART OF WICKER LARGE, HEART OF WICKER SMALL",0.060674,0.05618,0.021124,0.348148,6.197037,0.017715,1.447906,0.892803,0.362074,0.046948,0.361806,0.6718,High-Lift Affinity Pair
61,"BLUEBERRY SCONE, CROISSANT ALL BUTTER","ALMOND DANISH, CAPPUCCINO CUP & SAUCER",0.059326,0.062472,0.022921,0.386364,6.184598,0.019215,1.527824,0.891178,0.376635,0.031818,0.376509,0.6848,High-Lift Affinity Pair
62,"ALMOND DANISH, CAPPUCCINO CUP & SAUCER","BLUEBERRY SCONE, CROISSANT ALL BUTTER",0.062472,0.059326,0.022921,0.366906,6.184598,0.019215,1.485838,0.894168,0.376635,0.031818,0.376509,0.6793,High-Lift Affinity Pair
63,"ORGANIC WHOLE MILK, SWEET CREAM BUTTER, WHOLE WHEAT BREAD",ORGANIC EGGS DOZEN,0.027865,0.11236,0.019326,0.693548,6.172581,0.016195,2.896511,0.862013,0.432774,0.698885,0.345384,0.7682,High-Confidence Cross-Sell
64,"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY, WHITE HANGING HEART T-LIGHT HOLDER",HEART OF WICKER LARGE,0.033258,0.107416,0.022022,0.662162,6.16448,0.01845,2.642049,0.866602,0.433592,0.625,0.368452,0.7625,High-Confidence Cross-Sell
65,"AGED PARMESAN REGGIANO, ORGANIC TOMATO BASIL SAUCE","ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL",0.054831,0.067865,0.022921,0.418033,6.159755,0.0192,1.601696,0.88625,0.377891,0.130631,0.375752,0.6922,High-Lift Affinity Pair
66,"ARTISAN PASTA PENNE, ITALIAN EXTRA VIRGIN OLIVE OIL","AGED PARMESAN REGGIANO, ORGANIC TOMATO BASIL SAUCE",0.067865,0.054831,0.022921,0.337748,6.159755,0.0192,1.427204,0.898642,0.377891,0.130631,0.375752,0.6693,High-Lift Affinity Pair
67,"ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L","GARDENING GLOVES PAIR, LED GROW LIGHT BULB",0.056629,0.060674,0.021124,0.373016,6.147854,0.017688,1.498165,0.887606,0.360582,0.042056,0.360368,0.6755,High-Lift Affinity Pair
68,"GARDENING GLOVES PAIR, LED GROW LIGHT BULB","ORGANIC POTTING SOIL 10L, WATERING CAN GREEN 2L",0.060674,0.056629,0.021124,0.348148,6.147854,0.017688,1.447217,0.891428,0.360582,0.042056,0.360368,0.6684,High-Lift Affinity Pair
69,"HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY","HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER",0.057528,0.062472,0.022022,0.382812,6.127754,0.018429,1.519033,0.887886,0.367665,0.050459,0.367353,0.6783,High-Lift Affinity Pair
70,"HEART OF WICKER LARGE, WHITE HANGING HEART T-LIGHT HOLDER","HEART OF WICKER SMALL, SET OF 3 CAKE TINS PANTRY",0.062472,0.057528,0.022022,0.352518,6.127754,0.018429,1.455596,0.892569,0.367665,0.050459,0.367353,0.6697,High-Lift Affinity Pair
71,"AGED PARMESAN REGGIANO, GARLIC HERB BREADSTICKS, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.03191,0.117303,0.022921,0.71831,6.123523,0.019178,3.133573,0.864274,0.456856,0.676157,0.374646,0.7776,High-Confidence Cross-Sell
72,"ALMOND DANISH, BLUEBERRY SCONE","CAPPUCCINO CUP & SAUCER, CROISSANT ALL BUTTER",0.057079,0.065618,0.022921,0.401575,6.11989,0.019176,1.561402,0.887241,0.375445,0.085586,0.374535,0.6846,High-Lift Affinity Pair
73,"CAPPUCCINO CUP & SAUCER, CROISSANT ALL BUTTER","ALMOND DANISH, BLUEBERRY SCONE",0.065618,0.057079,0.022921,0.349315,6.11989,0.019176,1.449121,0.895349,0.375445,0.085586,0.374535,0.6698,High-Lift Affinity Pair
74,"ARTISAN PASTA PENNE, GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL",ORGANIC TOMATO BASIL SAUCE,0.039551,0.109663,0.026517,0.670455,6.113776,0.02218,2.701713,0.870879,0.456129,0.571429,0.402639,0.7683,High-Confidence Cross-Sell
75,"CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB","GARDENING GLOVES PAIR, WATERING CAN GREEN 2L",0.060674,0.067865,0.025169,0.414815,6.112338,0.021051,1.592889,0.890422,0.392838,0.069565,0.392223,0.6916,High-Lift Affinity Pair
76,"GARDENING GLOVES PAIR, WATERING CAN GREEN 2L","CERAMIC PLANT POT WHITE, LED GROW LIGHT BULB",0.067865,0.060674,0.025169,0.370861,6.112338,0.021051,1.493034,0.897291,0.392838,0.069565,0.392223,0.6791,High-Lift Affinity Pair
77,"HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER","REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",0.058427,0.060674,0.021573,0.369231,6.08547,0.018028,1.489175,0.88753,0.362393,0.023041,0.362329,0.6708,High-Lift Affinity Pair
78,"REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY","HEART OF WICKER SMALL, WHITE HANGING HEART T-LIGHT HOLDER",0.060674,0.058427,0.021573,0.355556,6.08547,0.018028,1.461062,0.889653,0.362393,0.023041,0.362329,0.6669,High-Lift Affinity Pair
79,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",HEART OF WICKER LARGE,0.03236,0.107416,0.021124,0.652778,6.077115,0.017648,2.570643,0.863387,0.424715,0.632576,0.358288,0.7522,High-Confidence Cross-Sell
80,"SWEET CREAM BUTTER, WHOLE WHEAT BREAD","ORGANIC EGGS DOZEN, ORGANIC WHOLE MILK",0.055281,0.057528,0.019326,0.349593,6.076918,0.016146,1.449051,0.884329,0.342765,0.024038,0.342697,0.6608,High-Lift Affinity Pair
81,"ORGANIC EGGS DOZEN, ORGANIC WHOLE MILK","SWEET CREAM BUTTER, WHOLE WHEAT BREAD",0.057528,0.055281,0.019326,0.335937,6.076918,0.016146,1.422636,0.886438,0.342765,0.024038,0.342697,0.6569,High-Lift Affinity Pair
82,"ORGANIC EGGS DOZEN, SWEET CREAM BUTTER, WHOLE WHEAT BREAD",ORGANIC WHOLE MILK,0.030562,0.10427,0.019326,0.632353,6.064592,0.016139,2.436387,0.861435,0.408849,0.638132,0.34235,0.7425,High-Confidence Cross-Sell
83,"GARLIC HERB BREADSTICKS, ITALIAN EXTRA VIRGIN OLIVE OIL, ORGANIC TOMATO BASIL SAUCE",ARTISAN PASTA PENNE,0.037303,0.117303,0.026517,0.710843,6.059872,0.022141,3.052659,0.867335,0.468449,0.624561,0.40086,0.7765,High-Confidence Cross-Sell
84,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, SET OF 3 CAKE TINS PANTRY",WHITE HANGING HEART T-LIGHT HOLDER,0.03236,0.110112,0.021573,0.666667,6.054422,0.01801,2.669663,0.86275,0.431293,0.643123,0.361403,0.7554,High-Confidence Cross-Sell
85,"ORGANIC WHOLE MILK, STRAWBERRY PRESERVES","ORGANIC EGGS DOZEN, SWEET CREAM BUTTER",0.053483,0.059775,0.019326,0.361345,6.04505,0.016129,1.472194,0.881733,0.342326,0.066986,0.341798,0.6619,High-Lift Affinity Pair
86,"ORGANIC EGGS DOZEN, SWEET CREAM BUTTER","ORGANIC WHOLE MILK, STRAWBERRY PRESERVES",0.059775,0.053483,0.019326,0.323308,6.04505,0.016129,1.398742,0.887634,0.342326,0.066986,0.341798,0.6511,High-Lift Affinity Pair
87,"CERAMIC COFFEE MUG, FRENCH VANILLA SYRUP","COLOMBIAN ROAST COFFEE, PURE CANE SUGAR",0.057978,0.061573,0.021573,0.372093,6.043117,0.018003,1.494532,0.885884,0.361229,0.036697,0.361066,0.6686,High-Lift Affinity Pair
88,"COLOMBIAN ROAST COFFEE, PURE CANE SUGAR","CERAMIC COFFEE MUG, FRENCH VANILLA SYRUP",0.061573,0.057978,0.021573,0.350365,6.043117,0.018003,1.45008,0.889278,0.361229,0.036697,0.361066,0.6624,High-Lift Affinity Pair
89,"HEART OF WICKER SMALL, REGENCY CAKESTAND 3 TIER, WHITE HANGING HEART T-LIGHT HOLDER",SET OF 3 CAKE TINS PANTRY,0.033708,0.106067,0.021573,0.64,6.033898,0.017998,2.483146,0.863372,0.421695,0.612167,0.36079,0.7461,High-Confidence Cross-Sell
90,"USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE","LARGE DESK PAD BLACK, MECHANICAL KEYBOARD",0.054831,0.057079,0.018876,0.344262,6.031367,0.015747,1.437955,0.882594,0.337485,0.024155,0.337417,0.6554,High-Lift Affinity Pair
91,"LARGE DESK PAD BLACK, MECHANICAL KEYBOARD","USB-C MULTIPORT ADAPTER, WIRELESS ERGONOMIC MOUSE",0.057079,0.054831,0.018876,0.330709,6.031367,0.015747,1.412193,0.884697,0.337485,0.024155,0.337417,0.6515,High-Lift Affinity Pair
92,"CERAMIC COFFEE MUG, COLOMBIAN ROAST COFFEE, FRENCH VANILLA SYRUP",PURE CANE SUGAR,0.03236,0.110562,0.021573,0.666667,6.02981,0.017995,2.668315,0.862053,0.430894,0.644444,0.360668,0.7537,High-Confidence Cross-Sell
93,"LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER","MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE",0.055281,0.056629,0.018876,0.341463,6.02981,0.015746,1.432526,0.882969,0.337398,0.014493,0.337374,0.6544,High-Lift Affinity Pair
94,"MECHANICAL KEYBOARD, WIRELESS ERGONOMIC MOUSE","LARGE DESK PAD BLACK, USB-C MULTIPORT ADAPTER",0.056629,0.055281,0.018876,0.333333,6.02981,0.015746,1.417079,0.884231,0.337398,0.014493,0.337374,0.6521,High-Lift Affinity Pair
95,"COLOMBIAN ROAST COFFEE, DARK CHOCOLATE BAR 85%, PURE CANE SUGAR",CERAMIC COFFEE MUG,0.030562,0.107416,0.019775,0.647059,6.023874,0.016492,2.528989,0.860286,0.41558,0.65019,0.345143,0.7447,High-Confidence Cross-Sell
96,"GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L","CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L",0.058876,0.063371,0.022472,0.381679,6.022955,0.018741,1.514795,0.886141,0.368145,0.045045,0.367896,0.6714,High-Lift Affinity Pair
97,"CERAMIC PLANT POT WHITE, WATERING CAN GREEN 2L","GARDENING GLOVES PAIR, ORGANIC POTTING SOIL 10L",0.063371,0.058876,0.022472,0.35461,6.022955,0.018741,1.458224,0.890393,0.368145,0.045045,0.367896,0.6637,High-Lift Affinity Pair
