customerID,MonthlyCharges,tenure,Contract,Churn,value_segment,risk_segment,rule_segment,cluster
2194-IIQOF,89.3,71,Two year,0,High value,Low risk,High value / Low risk,2
2481-SBOYW,25.0,61,Two year,0,Low value,Low risk,Low value / Low risk,0
3488-PGMQJ,74.5,8,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
8735-DCXNF,54.95,10,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
7176-WIONM,49.85,12,Month-to-month,0,Low value,High risk,Low value / High risk,1
8548-AWOFC,63.85,66,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,2
6620-HVDUJ,60.45,24,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
8976-OQHGT,56.5,4,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
4951-UKAAQ,88.95,4,Month-to-month,1,High value,High risk,High value / High risk,1
6693-DJWTY,55.6,35,One year,0,Mid value,Low risk,Mid value / Low risk,1
6563-VNPMN,85.7,45,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
6333-YDVLT,110.0,65,One year,0,High value,Low risk,High value / Low risk,2
6551-GNYDG,80.9,14,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
2405-LBMUW,50.7,61,One year,0,Mid value,Low risk,Mid value / Low risk,2
9541-ZPSEA,80.35,68,Two year,0,Mid value,Low risk,Mid value / Low risk,2
6543-JXSOO,57.75,23,One year,0,Mid value,Low risk,Mid value / Low risk,1
6968-GMKPR,81.55,55,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,2
4195-PNGZS,24.45,69,Two year,0,Low value,Low risk,Low value / Low risk,0
4646-QZXTF,81.25,7,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
7564-GHCVB,79.05,72,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1534-OULXE,49.7,61,One year,0,Low value,Low risk,Low value / Low risk,0
8348-JLBUG,80.3,64,One year,0,Mid value,Low risk,Mid value / Low risk,2
8290-YWKHZ,93.2,32,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
6618-RYATB,79.55,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
0641-EVBOJ,82.3,3,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
3039-MJSLN,20.2,3,Month-to-month,0,Low value,High risk,Low value / High risk,0
8661-BOYNW,84.4,72,Two year,0,High value,Low risk,High value / Low risk,2
4310-KEDTB,29.8,26,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
1116-DXXDF,100.45,39,Two year,0,High value,Low risk,High value / Low risk,2
8605-ITULD,19.55,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
8566-YPRGL,19.5,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
4355-CVPVS,88.9,56,One year,0,High value,Low risk,High value / Low risk,2
8327-LZKAS,107.55,43,One year,1,High value,Low risk,High value / Low risk,2
2080-SRCDE,25.4,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
4903-CNOZC,70.9,29,One year,0,Mid value,Low risk,Mid value / Low risk,1
7314-OXENN,82.0,2,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
6869-FGJJC,79.6,68,One year,0,Mid value,Low risk,Mid value / Low risk,2
9350-VLHMB,89.55,67,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
2995-YWTCD,24.9,19,Two year,0,Low value,Low risk,Low value / Low risk,0
8165-CBKXO,56.75,66,Two year,0,Mid value,Low risk,Mid value / Low risk,2
7853-OETYL,29.05,4,Month-to-month,0,Low value,High risk,Low value / High risk,1
3352-RICWQ,19.75,9,Two year,0,Low value,Low risk,Low value / Low risk,0
6646-VRFOL,103.85,53,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
9391-TTOYH,19.5,23,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
9101-BWFSS,108.55,50,One year,1,High value,Low risk,High value / Low risk,2
2080-GKCWQ,74.95,2,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
1074-WVEVG,20.35,59,One year,0,Low value,Low risk,Low value / Low risk,0
0459-SPZHJ,83.5,63,Two year,0,Mid value,Low risk,Mid value / Low risk,2
8851-RAGOV,71.05,25,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
9921-ZVRHG,80.45,14,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
9253-VIFJQ,67.05,65,One year,0,Mid value,Low risk,Mid value / Low risk,2
8169-SAEJD,56.55,69,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1396-QWFBJ,74.05,21,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
5681-LLOEI,91.25,43,One year,0,High value,Low risk,High value / Low risk,2
8752-GHJFU,92.0,71,One year,0,High value,Low risk,High value / Low risk,2
9862-KJTYK,25.35,19,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
0362-RAOQO,19.65,40,Two year,0,Low value,Low risk,Low value / Low risk,0
8931-GJJIQ,83.3,9,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
2239-JALAW,103.25,58,One year,1,High value,Low risk,High value / Low risk,2
2654-VBVPB,19.9,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
9746-MDMBK,113.45,47,One year,0,High value,Low risk,High value / Low risk,2
5641-DMBFJ,84.3,58,Two year,0,High value,Low risk,High value / Low risk,2
3352-ALMCK,102.65,40,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
1921-KYSAY,68.6,41,One year,0,Mid value,Low risk,Mid value / Low risk,2
8402-EIVQS,100.9,67,One year,0,High value,Low risk,High value / Low risk,2
0380-NEAVX,99.85,34,One year,0,High value,Low risk,High value / Low risk,2
9039-ZVJDC,19.1,3,Month-to-month,0,Low value,High risk,Low value / High risk,0
8261-GWDBQ,116.05,60,Two year,0,High value,Low risk,High value / Low risk,2
4145-UQXUQ,92.1,8,Month-to-month,1,High value,High risk,High value / High risk,1
6906-ANDWJ,74.9,15,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
6999-CHVCF,102.1,68,Two year,0,High value,Low risk,High value / Low risk,2
1635-NZATJ,25.45,71,Two year,0,Low value,Low risk,Low value / Low risk,0
1867-TJHTS,79.8,58,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,2
9137-NOQKA,19.2,2,Month-to-month,0,Low value,High risk,Low value / High risk,0
1670-SVOWZ,89.65,14,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
6892-BOGQE,20.9,71,Two year,0,Low value,Low risk,Low value / Low risk,0
6615-NGGZJ,100.55,14,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
7351-MHQVU,50.95,6,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
3466-BYAVD,69.5,15,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
1573-LGXBA,97.55,57,One year,0,High value,Low risk,High value / Low risk,2
5993-JSUWV,61.15,66,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1891-FZYSA,89.95,69,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
3067-SVMTC,55.9,68,One year,0,Mid value,Low risk,Mid value / Low risk,2
1004-NOZNR,94.8,56,One year,0,High value,Low risk,High value / Low risk,2
7028-DVOIQ,99.05,35,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
4580-TMHJU,56.15,43,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
7036-ZZKBD,66.4,31,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
5844-QVTAT,58.45,33,One year,0,Mid value,Low risk,Mid value / Low risk,1
3428-XZMAZ,69.35,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
2578-JQPHZ,100.1,44,Two year,0,High value,Low risk,High value / Low risk,2
2550-AEVRU,53.45,57,One year,0,Mid value,Low risk,Mid value / Low risk,2
8597-CTXVJ,64.95,70,One year,0,Mid value,Low risk,Mid value / Low risk,2
9708-KFDBY,20.55,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
1335-MXCSE,55.25,55,Two year,0,Mid value,Low risk,Mid value / Low risk,2
9253-QXKBE,94.45,29,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
5478-JJVZK,60.9,33,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
9274-CNFMO,74.95,4,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
2996-XAUVF,40.05,70,Two year,0,Low value,Low risk,Low value / Low risk,2
4163-KIUHY,25.6,35,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
5365-LLFYV,45.85,2,Month-to-month,0,Low value,High risk,Low value / High risk,1
8337-UPOAQ,89.8,10,Month-to-month,1,High value,High risk,High value / High risk,1
1866-OBPNR,74.6,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
6265-FRMTQ,20.4,31,Two year,0,Low value,Low risk,Low value / Low risk,0
6741-EGCBI,90.5,30,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
4250-WAROZ,93.25,60,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
1266-NZYUI,66.85,72,Two year,0,Mid value,Low risk,Mid value / Low risk,2
7976-CICYS,20.7,4,Month-to-month,0,Low value,High risk,Low value / High risk,0
8120-JDCAM,69.55,4,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
4009-ALQFH,99.5,25,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
6586-MYGKD,76.95,70,Two year,0,Mid value,Low risk,Mid value / Low risk,2
8262-COGGB,20.45,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
9967-ATRFS,19.9,19,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
7551-JOHTI,19.5,1,Month-to-month,1,Low value,High risk,Low value / High risk,0
0064-SUDOG,20.3,12,Two year,0,Low value,Low risk,Low value / Low risk,0
3976-HXHCE,19.3,72,Two year,0,Low value,Low risk,Low value / Low risk,0
2342-CKIAO,20.3,2,Month-to-month,0,Low value,High risk,Low value / High risk,0
7682-AZNDK,89.85,34,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
3891-NLXJB,40.55,37,Two year,0,Low value,Low risk,Low value / Low risk,0
2205-LPVGL,89.85,58,One year,0,High value,Low risk,High value / Low risk,2
3566-HJGPK,45.55,1,Month-to-month,0,Low value,High risk,Low value / High risk,1
3878-AVSOQ,71.25,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
7767-UXAGJ,50.45,1,Month-to-month,1,Low value,High risk,Low value / High risk,1
6087-YPWHO,68.15,72,Two year,0,Mid value,Low risk,Mid value / Low risk,2
0282-NVSJS,29.3,12,Month-to-month,0,Low value,High risk,Low value / High risk,0
0883-EIBTI,19.5,2,Month-to-month,1,Low value,High risk,Low value / High risk,0
5093-FEGLU,19.65,47,Two year,0,Low value,Low risk,Low value / Low risk,0
7593-JNWRU,44.6,6,Month-to-month,1,Low value,High risk,Low value / High risk,1
5110-CHOPY,53.6,60,Two year,0,Mid value,Low risk,Mid value / Low risk,2
6407-UTSLV,83.8,2,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
3720-DBRWL,83.85,51,Two year,0,Mid value,Low risk,Mid value / Low risk,2
9802-CAQUT,109.55,72,Two year,0,High value,Low risk,High value / Low risk,2
9225-BZLNZ,85.25,72,Two year,0,High value,Low risk,High value / Low risk,2
1207-BLKSA,23.05,52,Two year,0,Low value,Low risk,Low value / Low risk,0
3779-OSWCF,93.2,71,Two year,0,High value,Low risk,High value / Low risk,2
9891-NQDBD,25.55,28,One year,0,Low value,Low risk,Low value / Low risk,0
5227-JSCFE,46.35,71,Two year,0,Low value,Low risk,Low value / Low risk,2
9938-TKDGL,99.55,68,Two year,0,High value,Low risk,High value / Low risk,2
7465-ZZRVX,70.35,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
1173-XZPYF,89.2,11,Month-to-month,0,High value,High risk,High value / High risk,1
8824-RWFXJ,56.15,3,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
8715-KKTFG,103.3,61,One year,0,High value,Low risk,High value / Low risk,2
8185-UPYBR,75.5,6,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
5619-PTMIK,53.1,46,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
9174-IHETN,70.35,50,Two year,0,Mid value,Low risk,Mid value / Low risk,2
6305-YLBMM,104.05,69,One year,1,High value,Low risk,High value / Low risk,2
7037-MTYVW,85.4,38,Two year,0,High value,Low risk,High value / Low risk,2
9306-CPCBC,74.25,3,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
6818-WOBHJ,89.6,68,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
1760-CAZHT,20.8,25,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
7240-FQLHE,99.75,18,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
3834-XUIFC,85.2,7,Month-to-month,1,High value,High risk,High value / High risk,1
8316-BBQAY,59.95,65,Two year,0,Mid value,Low risk,Mid value / Low risk,2
5602-BVFMK,19.3,12,One year,0,Low value,Low risk,Low value / Low risk,0
6366-ZGQGL,24.8,1,Month-to-month,1,Low value,High risk,Low value / High risk,0
2023-VQFDL,19.0,18,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
9795-NREXC,85.0,64,Two year,0,High value,Low risk,High value / Low risk,2
8404-FYDIB,86.65,26,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
9565-DJPIB,89.6,4,Month-to-month,1,High value,High risk,High value / High risk,1
7688-AWMDX,54.5,71,Two year,0,Mid value,Low risk,Mid value / Low risk,2
8624-GIOUT,59.75,49,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
9451-LPGOO,86.8,7,Month-to-month,1,High value,High risk,High value / High risk,1
4118-CEVPF,110.8,35,One year,0,High value,Low risk,High value / Low risk,2
1363-TXLSL,70.3,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
0345-HKJVM,89.3,6,Month-to-month,1,High value,High risk,High value / High risk,1
4607-CHPCA,90.4,25,One year,1,High value,Low risk,High value / Low risk,1
0939-EREMR,53.45,13,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
5707-ORNDZ,54.55,9,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
8125-QPFJD,84.9,72,Two year,0,High value,Low risk,High value / Low risk,2
7163-OCEQI,78.65,22,One year,0,Mid value,Low risk,Mid value / Low risk,1
0454-OKRCT,80.6,33,Two year,0,Mid value,Low risk,Mid value / Low risk,1
1986-PHGZF,58.4,18,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
9086-YJYXS,77.2,34,One year,0,Mid value,Low risk,Mid value / Low risk,2
8780-IXSTS,90.1,6,Month-to-month,1,High value,High risk,High value / High risk,1
0835-DUUIQ,21.05,24,One year,0,Low value,Low risk,Low value / Low risk,0
0236-HFWSV,93.35,15,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
4191-XOVOM,105.4,63,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
3223-DWFIO,69.35,4,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
8016-ZMGMO,70.85,66,One year,0,Mid value,Low risk,Mid value / Low risk,2
1552-TKMXS,20.35,42,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
1251-STYSZ,80.25,4,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
7714-YXSMB,100.5,26,Month-to-month,0,High value,Medium risk,High value / Medium risk,1
9738-QLWTP,81.9,39,One year,0,Mid value,Low risk,Mid value / Low risk,2
8285-ABVLB,19.85,70,Two year,0,Low value,Low risk,Low value / Low risk,0
8806-EAGWC,55.15,3,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
0843-WTBXE,85.45,53,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
9588-OZDMQ,45.0,2,Month-to-month,0,Low value,High risk,Low value / High risk,1
8468-FZTOE,74.35,72,Two year,0,Mid value,Low risk,Mid value / Low risk,2
5275-PMFUT,64.8,72,Two year,0,Mid value,Low risk,Mid value / Low risk,2
9822-OAOVB,55.45,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
6339-RZCBJ,78.9,48,Two year,0,Mid value,Low risk,Mid value / Low risk,2
7860-UXCRM,74.5,63,Two year,0,Mid value,Low risk,Mid value / Low risk,2
7010-BRBUU,24.1,72,Two year,0,Low value,Low risk,Low value / Low risk,0
9102-OXKFY,54.15,59,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1430-SFQSA,35.6,29,One year,0,Low value,Low risk,Low value / Low risk,0
7153-CHRBV,59.3,57,One year,0,Mid value,Low risk,Mid value / Low risk,2
6647-ZEDXT,110.45,30,One year,0,High value,Low risk,High value / Low risk,2
7459-IMVYU,69.95,38,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
7998-ZLXWN,20.45,15,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,0
2674-MLXMN,99.65,71,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
2645-QTLMB,94.25,7,Month-to-month,1,High value,High risk,High value / High risk,1
3721-WKIIL,19.6,27,Two year,0,Low value,Low risk,Low value / Low risk,0
4933-BSAIP,19.1,40,Two year,0,Low value,Low risk,Low value / Low risk,0
4844-JJWUY,86.0,1,Month-to-month,1,High value,High risk,High value / High risk,1
9614-RMGHA,91.85,65,Month-to-month,1,High value,Medium risk,High value / Medium risk,2
4614-NUVZD,81.1,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
4855-SNKMY,44.1,1,Month-to-month,1,Low value,High risk,Low value / High risk,1
5066-GFJMM,19.9,3,Month-to-month,0,Low value,High risk,Low value / High risk,0
3565-UNOCC,99.05,29,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
3721-CNZHX,19.8,15,One year,0,Low value,Low risk,Low value / Low risk,0
3486-HOOGQ,79.7,70,Two year,0,Mid value,Low risk,Mid value / Low risk,2
9912-GVSEQ,93.85,26,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
8547-NSBBO,96.75,35,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
2256-YLYLP,72.95,68,Two year,0,Mid value,Low risk,Mid value / Low risk,2
6358-LYNGM,74.9,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
8203-XJZRC,20.25,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
6670-MFRPK,79.2,69,Two year,0,Mid value,Low risk,Mid value / Low risk,2
1336-EZFZY,20.05,4,Month-to-month,0,Low value,High risk,Low value / High risk,0
9518-IMLHK,72.45,31,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
3424-NMNBO,108.85,58,One year,1,High value,Low risk,High value / Low risk,2
3227-WLKLI,91.55,65,Two year,0,High value,Low risk,High value / Low risk,2
0743-HNPFG,69.75,51,One year,0,Mid value,Low risk,Mid value / Low risk,2
6569-KTMDU,19.1,1,Month-to-month,0,Low value,High risk,Low value / High risk,0
0680-DFNNY,101.1,15,Month-to-month,1,High value,Medium risk,High value / Medium risk,1
1834-ABKHQ,50.95,52,One year,0,Mid value,Low risk,Mid value / Low risk,0
2672-DZUOY,25.15,1,Month-to-month,1,Low value,High risk,Low value / High risk,1
7521-YXVZY,19.95,3,Month-to-month,0,Low value,High risk,Low value / High risk,0
4522-AKYLR,54.8,13,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
3494-JCHRQ,70.05,1,Month-to-month,1,Mid value,High risk,Mid value / High risk,1
6060-DRTNL,84.85,5,Month-to-month,1,High value,High risk,High value / High risk,1
7175-NTIXE,76.15,25,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
7519-JTWQH,110.5,69,Two year,0,High value,Low risk,High value / Low risk,2
5172-MIGPM,65.55,4,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
9770-LXDBK,20.4,3,Month-to-month,0,Low value,High risk,Low value / High risk,0
6180-YBIQI,24.3,5,Month-to-month,0,Low value,High risk,Low value / High risk,0
3904-UKFRE,80.1,4,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
1226-IENZN,78.75,16,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
3021-VLNRJ,70.8,50,One year,0,Mid value,Low risk,Mid value / Low risk,2
7746-QYVCO,55.85,16,One year,0,Mid value,Low risk,Mid value / Low risk,1
0701-RFGFI,95.4,49,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
0696-UKTOX,54.15,23,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,1
0434-CSFON,100.5,47,Month-to-month,0,High value,Medium risk,High value / Medium risk,2
7639-SUPCW,48.8,22,Month-to-month,1,Low value,Medium risk,Low value / Medium risk,1
0864-FVJNJ,113.35,64,One year,0,High value,Low risk,High value / Low risk,2
1208-NBVFH,49.6,20,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
2330-PQGDQ,84.2,51,One year,0,Mid value,Low risk,Mid value / Low risk,2
3677-TNKIO,71.0,14,Month-to-month,1,Mid value,Medium risk,Mid value / Medium risk,1
9060-HJJRW,56.4,51,One year,0,Mid value,Low risk,Mid value / Low risk,2
3391-JSQEW,50.15,40,Month-to-month,0,Low value,Medium risk,Low value / Medium risk,1
6108-OQZDQ,97.95,4,Month-to-month,1,High value,High risk,High value / High risk,1
8348-HFYIV,49.25,2,Month-to-month,1,Low value,High risk,Low value / High risk,1
3537-HPKQT,77.75,55,Month-to-month,0,Mid value,Medium risk,Mid value / Medium risk,2
0440-EKDCF,60.15,62,Two year,0,Mid value,Low risk,Mid value / Low risk,2
3620-MWJNE,54.45,2,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
3577-AMVUX,55.05,1,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
8999-BOHSE,89.7,11,Month-to-month,1,High value,High risk,High value / High risk,1
6435-SRWBJ,82.75,5,Month-to-month,0,Mid value,High risk,Mid value / High risk,1
