PetID,image_embedding_available,image_embedding_count
fd3172797,1,3
8df0bb3b3,1,3
3d0752cd9,1,3
22051ab84,1,3
573b3ec3d,0,0
370fe2afb,1,3
dd308e46b,1,1
6a763a055,1,2
5e4154870,1,3
a44d42407,1,3
cc8401c02,1,3
0f24b6cd6,1,1
49bb70e36,1,1
43ddb2eb4,1,2
dae92dd61,1,3
a6ac8884b,1,1
60ce9e319,1,3
5247209aa,1,2
19b1f4263,1,3
d50e11ec5,1,2
4407e70f3,1,2
27b6e5aca,1,3
80ebea85c,1,3
1bf1f95ef,1,1
cdab8ba8e,1,3
b84dad49f,1,3
f0a2122d4,1,3
1104fe6bb,1,2
46d88ca3e,1,3
b99d5d532,1,3
2b6d08cba,0,0
b9429dc85,1,3
c61f6507e,1,3
e464fcd4b,1,3
86379f12f,1,1
55fcdea2f,1,3
392d3346e,1,3
33db028cb,1,1
35c0c3aca,1,3
d080818c3,1,3
6f0cb510a,1,3
61ac3c78c,1,1
368b2adc1,1,3
2e4c1faf7,1,3
a85a1c8c3,1,3
25c7d6c3b,1,3
0b819602d,1,2
4c594983d,1,3
05f99fc56,1,3
1dfadc371,1,1
6d9b202c9,1,3
54791dc58,1,3
b36616178,1,3
2ac4dd8c2,1,3
29f54c6ff,1,3
48b418070,1,2
c7eac7b01,1,3
8e0d65b3e,1,1
9a34ddc8b,1,2
ff9f62e79,1,3
4a6ee5d02,1,2
474bccd75,1,2
e4abb93bf,1,2
120805f93,1,2
2acf3fdce,1,2
e1ecc1b26,1,3
a8cdba660,1,3
9bcd62ef1,1,3
c3f2f166d,1,1
687e9c33c,1,1
bb5f471dd,1,1
0aaf6976a,1,3
45600eaab,1,3
dcba09ff1,1,3
d7f938acd,1,3
ea11b6f12,1,3
3332eb59c,1,3
b3e19ff68,0,0
594e3dc3f,1,1
fbb112b7e,1,3
d14d62508,1,2
5de61cf6b,1,3
b9590d4de,1,1
747c82f83,1,3
3004c3401,1,3
c737c30d7,1,1
03b0568b3,1,3
987baa1c7,1,3
70b3d1f9c,1,1
27456ec0f,1,3
5c28a8cec,1,3
2c8ae4c7e,1,2
cd7bea671,1,3
7bda94ad0,1,3
ab4b4681b,1,3
aa189a931,1,2
d0bc14f47,1,2
eab8c8c03,0,0
3b4a987ba,1,3
1bbb46822,1,1
5c546c236,1,1
702bee848,1,3
66757255c,1,1
0b0f596b5,1,3
938bcf142,1,2
bea72e6c5,1,3
52e555a3a,1,3
3998bcfec,1,1
e62e5aa26,1,3
933e0a3e8,1,3
1eb8a0278,1,3
d5df16a32,1,3
06296e4e2,1,3
207d61997,1,3
38a81271c,1,3
65d10be4d,1,3
c7b468b32,1,1
6df350974,1,3
249112486,1,1
8f85e69ee,1,3
b243b8e93,1,3
89523a695,1,2
4f0eacbdd,1,3
b5fcc079e,1,3
53976b229,1,3
f4ed1a08e,1,2
2f3227612,1,3
ba66a7a82,1,1
d4e83ee5b,1,3
00a1f270a,1,3
74e316be1,1,2
039509c40,1,3
eeb60466e,1,3
c6cdbebfa,1,3
82137b39f,1,3
28b64c198,1,3
f70251906,1,3
9d76ed82f,1,3
e83f846eb,1,3
60b9421cc,1,1
72a7cb335,1,3
0bd4aed6b,0,0
ae03f99f2,1,3
5a1010bca,1,2
6a5c652b5,1,1
040771e8e,0,0
706a9cd5c,1,1
62550cf78,1,3
701c5afba,1,1
d0fcfeb0f,1,3
7bce76c66,1,3
3b0b88ac2,1,3
a88d34ee3,1,2
061378b30,1,2
fc1457818,1,3
a27f0cc49,1,3
728c78b39,1,3
6c054c4ef,1,1
d5b9e0322,1,3
a2dc697f6,1,3
b04b200fa,1,3
be7b65c23,1,3
e37f4aa07,1,1
7de2f688b,1,3
e7020fa9a,1,3
752491221,1,3
c2346525a,1,2
bc7361016,1,3
66201cf73,1,3
b7359384d,1,3
be23e42d0,1,3
1c59cecac,1,3
e7e1904f4,1,3
2e3bfe5a9,1,3
13f07ee9a,1,2
d78d1dec0,1,3
821bd9373,1,1
720db9cb3,1,1
0443d6f82,1,3
67efce2e0,0,0
fa1a30192,1,2
c675f3b10,1,3
6e3d78857,1,3
d4d6997e3,1,2
d13d93f69,1,3
d8715d47e,1,3
c15b3c9f1,1,1
3bef75882,1,2
60bf93971,1,3
e9eeadf82,1,2
a4530b1d0,1,1
da6bb3100,1,3
79669f807,1,1
3af2b1473,1,1
0f0f81a37,1,3
b8976d821,1,2
9eb98f34c,1,3
e317b2a73,1,3
ebd78e1d4,1,3
0822c54d5,1,3
4036e0e12,1,3
f34d62be0,1,3
2a7b5edbf,1,3
18042e473,1,3
dc99804de,1,3
0fb490c9b,1,3
284be445a,1,1
a831df76b,1,3
145883970,1,3
e3d9dc96d,1,1
9a64e72cf,1,3
6e643eba1,1,3
a1b3dafc9,1,1
fe88a5777,1,3
bda2d149e,1,3
6cb5381cb,1,2
366a03818,0,0
732d546b4,1,3
a8a8f95f6,1,3
0b4bb9906,1,3
5eeb10b7a,1,3
f03b04b1e,1,1
a672ea96d,1,1
4df43033d,1,3
d25638f81,1,3
aafb75ee8,1,2
e9cf01a21,1,2
1c74d62ed,1,2
2148c2ef6,1,3
f0bb05fc7,1,3
479500716,1,2
1afdf61ec,1,2
b4d0c60b6,1,3
110d4487e,1,1
27cede3cf,1,1
99dcd9020,1,3
4cb8fe436,1,2
a13ed5e9d,1,1
7adc5209e,1,3
0a8ee7520,1,3
82aa52460,1,1
4c9f111f1,1,2
eb6c692dc,1,3
d096658bb,1,3
109c4f5a8,1,3
f8b702182,1,1
eb652ec07,1,1
026ebf139,1,1
6c7c5555f,1,3
1a9733afb,1,2
1a54d4e92,1,3
8526200d3,1,3
8df39788a,1,3
045543730,1,3
bf50b399e,1,1
a05289ebd,1,3
dee525fcd,1,3
ceed27182,1,3
c0a9578bb,1,3
66dda45c4,1,3
9c87d70e5,1,2
4574e3de4,1,3
794a45833,1,1
800a7c025,1,1
6c75b9082,1,3
6dbc5c968,1,3
4dad8252f,1,1
3f9f466d1,1,3
8bf9a6b80,1,1
c43ecb3e1,1,3
3a3ae56f1,1,3
172332f53,1,1
01f7fdb78,0,0
9b721dcaf,1,3
e20655a10,1,3
9718baba0,1,3
cdd7aee45,1,3
86550c5dc,1,3
ba311fc1a,1,3
bb05c1ce8,0,0
4060caeb1,1,3
e54ee8e55,1,3
166092e21,1,3
5a2c8a05f,1,1
d3d47c67d,1,1
8ba0c6894,1,3
71cc0a02e,1,3
75bbaa3fa,1,1
ca587cb42,1,3
b4eb7f4df,1,1
fd32ce3ef,1,1
a15d8c8a8,1,1
34cedf9bb,1,3
ab599a6ac,1,3
81da09ea9,1,3
e736ab042,0,0
81a815ef5,1,1
0f122f712,1,1
58a10d0cd,1,1
3b1976326,1,3
30ea81bac,1,3
35907f15e,1,3
bfb33b149,1,3
375905770,1,3
9ec161c16,1,3
19f38a3f0,1,1
e2f1f5377,1,2
0c17e1f32,1,2
b912b1114,1,3
bd9e9d9e2,1,1
241dd214b,1,1
084874570,1,2
c1df421c4,1,3
ab9f715ad,1,3
3cc84c2f8,1,3
ee5583527,1,1
9a770c49a,1,1
e07812482,1,1
997db5df5,1,3
301e16ab9,1,3
8705145ca,1,3
6e3aad5f3,1,3
75a11e0f8,1,3
219a1308d,1,3
915173d4d,1,2
c390140c3,1,3
81d97fa9f,1,2
78b07d4e0,1,1
6cd1cac68,1,2
fb3bd80d1,1,3
51372ce91,1,1
1a1283447,1,3
4831c683c,1,3
90592e40c,1,1
e4e5ea1d2,1,3
e7a74fca8,1,3
a5595a935,1,1
c7575df7b,1,3
e81c6347b,1,1
7ee058c3d,1,3
4d999ee22,1,1
0637293ec,1,3
7ead795bb,1,2
691a8b7ea,1,3
fcd21f3ec,1,3
9c31047a7,1,3
76d5726c4,1,3
03d59fc21,1,3
1a9e7158e,1,3
86afe98e6,1,3
0eba8b0ad,1,1
d38bcdf49,1,1
85a79f281,1,1
91c2159dd,1,3
91d6a2898,1,2
cfddf0c47,1,2
b102f525b,1,3
dc1c9f8d5,1,3
c96f9d3a8,1,3
072ae6d9e,1,2
fa94b21d1,1,3
b5df81f99,1,1
2c24655fe,1,3
c702e00d2,1,2
95d2a0bdf,1,1
c8208c3c9,1,3
9a9f6c753,1,3
92b89a666,1,3
6819ce556,1,2
17bdf954a,1,3
2bf834f39,1,3
53cd96ef8,1,1
da327c74b,1,3
10a6c97d5,1,3
f8d831236,1,1
75a4a14ac,1,3
df39a5468,1,3
37f127385,1,2
878e36da4,1,3
1ffe668f9,1,3
9a2f44ddf,1,2
54e2508de,1,1
432904c5d,0,0
d30b90a39,1,1
20559d623,1,3
2e1d3ae52,1,1
3b0b2a86a,1,3
64c1c412b,1,3
b28de653f,1,3
0e6dd5e23,1,1
46dea66ea,1,1
842b21328,1,2
184ea777b,1,3
86547ad6d,1,3
ead547f1b,1,3
703f38466,1,1
60b188249,1,3
845703071,1,3
3c5e8cc5d,1,1
9f533475e,1,3
0636650db,1,1
d8128cefd,1,2
6b3614a92,1,2
dd2ec7bf4,1,2
fcf377cce,1,3
fb9a96204,1,3
d4b028ea8,1,3
8520800b1,1,3
7f8f45a35,1,1
dd7ad37e7,1,1
c92256e41,1,2
caa9a4f53,1,1
4ef431298,1,1
044548f89,1,3
6c3a05812,1,1
5d1fa8ddf,1,1
68cdd6d6b,1,3
1171c9a41,1,2
f9994fbae,1,3
67dbd5ed9,1,2
129df65b1,0,0
cc25fb529,1,3
3db150833,1,1
3b8b38508,1,3
2e1d4e279,1,1
f4f349714,1,1
7d21dc4a8,0,0
c3cafb38c,1,1
a6e902691,1,3
e3f841674,1,1
a6423eca8,1,3
2cea63a41,1,3
1751240fe,0,0
6c48c9154,1,1
9a3c966a9,1,3
ac49bdbdd,1,3
7fc640ad8,1,3
05252b175,1,3
27104e464,1,1
da8a47785,1,3
1aa3952c1,1,3
8bac2d757,1,3
1ba11aaaa,1,3
e5164d828,1,2
a0dd85af0,1,3
0392c0c81,1,3
fff24fcb5,1,2
1195168b6,1,3
9f7bf4f71,1,2
accca912b,1,3
27c4981c9,0,0
c2558c319,1,1
12d514ef2,1,3
3e2cc2690,1,3
c5072890c,1,3
17e6747da,1,3
1f7d6b89e,1,2
0052dcf47,1,3
cdb855a69,1,3
6f93a41c5,1,3
23d2b8824,1,3
dc56ff89a,1,2
23379775f,1,3
fca85f778,1,2
2b3ec0f96,1,3
a9bfec3ba,1,3
8885f346b,1,3
33d3738f6,1,3
87f4ea65f,1,2
edf0ff7e4,1,3
bebab9790,1,2
f17d4ab32,1,3
97dc6aa32,1,3
489d05a55,1,3
51d8da535,1,3
bb4c6519d,1,1
9fceca5de,1,3
93849e2b5,1,3
700a93465,1,1
d95eabfe9,1,2
146d950bc,1,1
439f040ed,1,3
022d2d16e,1,3
e0238b8c2,1,3
a5b5eccb6,1,2
0b8614414,1,3
6e3457b81,1,3
20d4ea30e,1,3
f98750599,1,1
2f346ac72,1,3
fc9b4b692,1,2
ec7775c4f,1,3
487abc5e1,1,3
06f523361,1,3
5c66641a1,1,1
ed5f14fda,1,2
a23f0020a,1,2
5a5463e17,1,3
518f86025,1,2
8dfe4da6a,1,3
8c93a6e28,1,2
94bcf0199,1,3
e758e4c0c,1,3
f2b656028,0,0
c69842c2a,1,3
fa07f7477,1,3
09acd6b31,1,3
782eb0d9d,1,3
7fd7b7583,1,3
655cfc630,0,0
e9dc82251,1,2
2f19ac5ab,1,2
7687b7da2,1,3
203e2bd3c,1,3
6b0103c04,1,3
3f936cb8a,1,3
d0101e748,1,1
56583003c,1,3
f99a5e817,1,1
157e3e074,1,1
68731378e,1,3
1e24f14d6,1,1
eb8aeff64,1,2
e9e06e3f6,1,3
79f8b048f,1,2
488bfc285,1,3
5698c00e2,1,3
b5aa169b4,1,3
846e720dc,1,3
13d0266c5,0,0
1b87c512e,1,1
859bcc995,1,3
9744dcc69,1,3
a2ae5fa7d,1,3
445c703ff,1,3
b9d6b1488,1,2
1ffb40e20,1,1
c0fe34d97,1,3
1ee56e81a,1,3
4e3e41b78,1,1
f4415e636,1,2
f91147e5f,1,3
406a1e534,1,3
648897870,1,1
2418f7929,1,3
2f60db1f7,1,3
0e4049f6d,1,3
27268f547,1,3
113b2b57a,1,3
d9c54752f,1,3
daf1a8d08,1,2
1ba69dec6,1,3
b744f152f,1,3
30908fb77,1,1
beb3a6da0,1,2
e3897d3cb,1,1
cfe285c5f,1,3
92caf1d01,1,3
37bf6da18,1,1
24d9b76ae,1,3
86953ea0b,1,3
0162634c2,1,3
c0ca6dd73,1,1
6f72c46b5,1,2
c8fc0d746,1,1
7b8924342,1,2
5145f87a0,1,3
e73038b62,1,3
b8bf2c090,1,3
44bba906d,1,3
7d1d7a4f6,1,3
fbaec0999,1,3
e936f5f63,1,3
43b277272,1,3
36cc00cf3,1,2
4fc4ac031,1,3
d5a027e6c,1,3
4bff9728d,1,1
cd4b05b8c,1,2
77fa5cdd7,1,1
f253bd6aa,1,3
21493e6ea,1,3
c5e4cfab0,1,3
7667378df,1,2
d09835201,1,3
a76983523,1,3
b6637d165,1,1
c60e6aff7,1,3
ec7517f68,1,1
3304185a1,1,2
d7dc2efde,1,3
25560b530,1,1
59b224cc9,1,3
32ef0472e,1,2
51022a643,1,3
4f7aa1d3c,1,2
8b63e1b21,1,3
7395053bc,1,2
700de2c49,1,3
d39c87657,1,1
6dcbe818e,1,3
88030e16e,1,3
694caa813,1,1
4eb61ccb3,1,3
99558286a,1,2
d9033fea0,1,3
8e0c995a9,1,3
eb8620132,1,3
b279ec774,1,3
261cbe336,1,3
e02b6a2d4,1,2
c12b5f5de,1,3
7f8955f6a,1,3
9809485bb,1,3
9397426ea,1,3
865e968b4,1,2
7a25c5a12,1,3
cb9cffdff,1,3
b8d07c37b,1,3
f0ac69be1,1,3
80f8877f8,1,1
0eaa9f888,1,3
11960b9ed,1,1
9d24c695e,1,3
90e1edc71,1,3
3c273e42f,1,3
9dd9f107d,1,1
58fe1756c,1,2
ebbf04d10,1,2
2b4b4e40c,1,2
e7fbd95a9,1,3
30dbb2e50,1,1
1d46f1061,1,3
71c3f9254,1,3
3d181b3c6,1,1
3536e1efd,1,2
de993d8ad,1,3
f8233b736,1,2
76e071fcb,1,1
d8c1859cb,1,3
9ef475fbe,1,2
2ea365a6f,1,2
42e7de7c0,1,3
71ad8e81d,1,3
7ca780c35,1,2
c039154f9,1,2
eea0cb464,1,3
09c629b05,1,3
4be73c550,1,1
4683d863b,1,3
ff05d4438,1,3
6d8793638,1,1
79b514f79,1,1
9102809eb,1,2
4e7a22c99,1,1
8c36b62a9,1,3
5bda8f113,1,3
943e9242f,1,3
6d59be88d,1,3
181fb7dae,1,3
0ce98d199,1,1
1aef9fc86,1,3
b386bb45c,1,3
b7fa5b815,1,1
070faf086,1,3
36a216956,1,3
ae524a36a,1,2
391e0cefd,1,3
a0ece637e,0,0
9eb042155,1,3
c9646e275,1,3
7d2fe6bb6,1,1
154d24447,1,2
9e0b14cf6,1,3
80fcac43d,1,3
a2b42f2e5,1,2
ba8d53f1e,1,1
d23a8d771,1,1
3697f94e1,1,1
0baab7556,1,1
6f85ce1a9,1,3
f24991ef7,1,3
9c263fbc4,1,2
a0cc9df12,1,3
e825b8b9f,1,2
c4feb7269,1,3
14357e2ed,1,1
056437112,1,1
abc69ab7f,1,2
4137d96a2,1,3
dd5797b7f,1,1
59d4947b6,0,0
28c005011,1,2
3f5f5782f,1,1
dc0ee2c73,1,3
124f45c2b,1,3
8908c9d99,1,3
8f21fee9f,0,0
bcf13ec9d,1,3
0f3434f36,1,3
311479c63,1,1
0b57ed86a,1,3
2d33077f2,1,3
a372e8416,1,1
084e4c05b,1,2
842528c2a,1,3
96a1bce27,1,1
99ba1c605,1,3
d2dd62cf2,1,2
53549acd2,1,3
f981112a8,1,3
53d6d37c8,1,3
8edfea832,1,3
d83aa1f02,1,3
9e27976e9,1,1
dbaacc7e8,1,3
3a67f200f,1,3
c93c0faa3,1,3
c9439e71b,1,3
4f502df1a,1,3
9725bf4d2,1,3
53bcfd67d,1,3
949cb7ee9,1,3
a58d8080b,1,1
855de7c89,1,1
796774834,1,3
db635ae93,1,2
11f062cb4,1,3
137916924,1,1
f0885aa00,1,1
c7901e98d,1,3
30e66b835,1,3
55f34f8f5,1,3
1bd200942,1,3
f310c42f2,1,1
7acaea66e,1,3
5afe2ebbc,1,3
747359fcb,1,3
ff7ff0f3c,1,1
f62e604d6,1,3
64568c4a6,1,1
67221a8f8,1,3
2082ad764,1,3
8960dc21e,0,0
d7c661670,1,3
caf3220f8,1,1
a72a34bdf,1,3
8af4db3f3,1,3
0b59a57ff,1,3
2d837689d,1,3
da5ae6aa9,1,3
cc8bf5e79,1,3
06ecc204f,1,3
b022c1924,1,3
4a8caef08,1,2
c547fc4f7,1,3
dfa8ac290,1,3
642a88a93,1,3
5f2edae7c,1,3
a22c43e29,1,3
edf6a5240,1,2
92c2878db,1,3
d8fceeb86,1,1
d0b61aedc,1,3
89af60ff3,0,0
62b2ac9fd,1,1
bd5ac00df,1,2
7e87938c3,1,3
2db6c996b,1,1
e79f310db,1,3
f7af4ce3d,1,1
eea72fce5,1,1
9b1241ef0,1,2
102482c40,1,2
7d028bdea,1,3
c6556750a,1,3
defc7be05,1,2
209e4f717,1,3
14ae60869,1,3
303ecdb58,1,3
4463deb9a,1,3
502c3e7ae,1,3
4c1a9d86f,1,1
8c17f26c4,1,2
d9a014dbb,1,3
f195c540d,1,3
d33c9174f,1,3
7ddc32b12,1,1
3e4f81782,1,3
e53cf2373,1,3
93c9866b0,1,3
f2755d8bf,1,1
1727cfc45,1,3
cad137e83,1,3
0e8c2a1aa,1,3
b8d244dd5,1,2
4e00cd0ac,1,3
fd6c93d05,1,1
8563bddec,1,2
2acc0a068,1,3
b5033c917,1,1
f3b4e3f5c,1,3
80ae0a34f,1,3
ca144ac2a,1,3
dd8817ccb,1,3
b612d6ba3,1,2
c517992c8,1,2
661bcb904,1,1
d6e342121,1,3
8415aff49,1,3
d2be70a4c,1,3
e4253889f,0,0
c135c6b15,1,3
eefb8d885,1,3
545711134,1,3
133cc5f19,1,3
25ebacf03,1,3
982dce813,1,3
fe3e235e0,1,3
4e01721aa,1,2
0b01864e2,1,3
b90e6ec69,1,3
4298e4c15,1,3
0b942f000,1,1
bbff353ce,1,1
4a0cda147,1,2
fbed8fc1a,1,3
7a54b760e,1,3
4c5dd1f7c,1,3
7be394a98,1,2
87074d17f,1,2
2502292c8,1,3
a578345c4,1,3
052b0ada8,1,3
529025eb8,1,3
3d3aef491,1,3
2b3fc0265,1,2
c37cd2095,1,2
d075365c0,1,3
a79fe858d,1,3
fd279ad95,1,3
c1ba2169b,1,3
36632f72b,1,3
9e380d9a2,1,3
d01e08ee2,1,1
fc4b199fa,1,1
b05a3ca1d,1,1
ed6684f3a,1,3
27bf3ae34,1,3
753654b70,1,3
3613869b2,1,3
cec359a78,1,3
ebcdfedd2,1,3
f39fef7c1,1,3
a4fb2d366,1,2
7f4fb6f7e,1,3
05935bf08,1,3
bd248bb10,1,3
6c5f1f0a3,1,3
d4c9eaede,1,1
ce788268c,1,3
bd30ea4fa,1,1
6dac572be,1,3
cdab9b66a,1,3
fb0180584,1,2
400cbe759,1,3
281e2d7e8,1,1
bf74b13ab,1,3
01ba4e94d,1,1
02d6020a9,1,2
bf12ff750,1,1
36ccd9729,1,2
12f9b8e6c,1,3
468cec390,1,3
b80b51bda,1,2
b2a23ac85,1,3
a92b06d0f,1,3
7af7d9cb6,1,3
99558ec92,1,3
4d20f6163,1,1
d6cfa5d4b,1,2
fc5e81c00,1,3
cb0309848,1,3
a72e084a4,1,1
5e390710c,1,3
056cc22d2,1,1
8ced67d36,1,3
81b5f684a,1,1
204a3b926,1,3
311ad9ac5,1,3
642ed14e6,1,3
640e18ef0,1,1
ab8386c6d,1,1
3f734b97c,1,2
4f5f178e6,1,3
c8be6ec3c,1,3
b63d76ef4,1,3
8435e081c,1,2
eca179f5f,1,3
9c580ca06,1,1
706c85343,1,3
73501589f,0,0
201d52dee,1,1
94fa9ff25,1,1
06bf9e676,1,1
4ccb3f896,1,3
281618ba5,1,3
515462e67,1,3
35f9818a7,1,3
260f532b1,1,2
e25d4dcb1,1,1
5c810c552,1,3
54c2d49bb,1,3
30dd541af,1,2
19dcd4753,1,2
3209cdc3c,1,3
e80386a28,1,3
9b980624e,1,3
6f3e5cbd8,1,3
b4f1bc76e,1,3
4669945ed,1,1
1b932e373,1,3
a0f88616c,0,0
b0c918c91,0,0
59e24567e,1,3
50361acf5,1,3
50e35cd70,1,3
7330b19a5,1,1
050277142,1,3
69262e404,1,1
a6fc65f2d,1,2
19f4d65b7,1,3
76288167b,1,3
f93283e0c,1,3
685cbaf7f,1,3
cdc958646,1,3
6be0a8fcd,1,3
151d50f53,1,3
a81084ff0,1,3
b82317efb,1,2
e0b6196d9,1,3
133a0db2c,1,2
c712cfd20,1,2
467614705,1,3
26848ac26,1,3
88ac92eed,1,3
9fa760b69,1,3
3a0e3b527,1,3
c6acce195,1,3
04e7d89c0,1,1
f1c49dd17,1,3
93f758039,1,3
ba58bb1a4,1,3
85b57bb1e,1,1
0bc3f09be,1,1
0f311b358,0,0
32148e0fc,1,2
da8d4a273,1,3
7d526090e,1,2
deeea2b65,1,1
c9ebb9992,1,3
085c9be4a,1,3
12380b365,1,3
4ce0b81f5,1,3
cc60d07c7,1,3
f03979157,1,1
3a4178fe9,1,3
355743336,1,3
97db95d21,1,3
e42dc215d,1,1
11ad894e6,1,3
2b5a3c81d,1,3
79d32926c,1,3
6029bf590,1,3
df76ee4c1,1,3
df6f884c0,1,3
78ad8f1a2,1,3
311e28b8b,1,3
9b9e24b37,1,1
c3ae3e118,1,3
9866d1bd1,1,3
9193e335e,1,1
78c217b2a,1,3
cd617c72c,1,3
3089a5bd8,1,2
cb5597fb1,1,2
1a3a45096,1,2
382e4bddd,1,3
944db63df,1,1
1d03b6d7c,1,1
7cbad35f9,1,3
6e6d8b614,1,3
e3a5332ce,1,3
e5e083218,1,2
b75594e30,1,3
2cdb96709,1,3
0bd2d5882,1,1
ea319fdec,1,3
300337abe,1,3
90a967a14,1,3
76358e754,1,3
df8ad80b3,1,3
8dd958339,1,3
796382bf4,1,3
81a176a02,1,2
e93afb8ff,1,3
67e7da152,1,3
d721ed589,1,3
6f2721c52,1,3
1a018ef15,1,3
8c4c4bc6e,1,1
1bb0600a7,1,3
e04df6caf,1,3
62d6817ab,0,0
faf6a8cd0,1,3
86d203b94,1,3
093a35049,1,3
2e6fc0342,1,2
f849d1829,1,1
32918fcdf,1,1
a2edd6e44,1,2
44b6a5b46,1,3
abdeff83f,1,2
f2a6e7dac,1,3
8311f29c4,1,1
b1da9f428,1,2
f54bef6d6,1,3
b12bdec95,1,3
69c8c9463,1,2
aefafcc66,1,3
8eb134074,1,3
8910f2f5e,1,3
45bf47f58,1,3
190eba3c6,1,3
228d72748,1,3
e21d09b79,1,2
833c51fd2,1,3
38e12233c,1,2
4d6a996c1,1,3
52238d3bf,1,3
2e1e8bbe3,1,1
e99c4a55d,1,1
bd870f5b1,1,1
727a1c793,1,3
24afd5f54,1,1
abe8790ba,1,3
d2d9924f0,1,3
162e06c01,1,1
29900d942,1,2
018cb4eaf,1,1
5419155f2,1,3
48f5de7e9,1,3
cad1a9f54,1,1
952501bdb,1,3
798f4a1e4,1,3
98c17f102,1,3
4a67bf90d,1,3
e152df77a,1,3
26627b528,1,2
fea00b643,1,1
dde8ffd00,1,1
2c15f3086,1,3
8a1b27ab1,1,3
a0bdb767f,1,2
46b603304,1,3
6b820b13d,0,0
ced0659f2,1,2
bea0802eb,1,2
cd7ee75c5,1,3
066521b34,1,3
bd37ccdd5,1,3
35f8b4bff,1,3
5b56430cd,1,1
1d6944a82,1,3
36ab1bdc9,1,3
d6ad64584,1,3
7314cb848,1,1
492fe3371,1,3
4e4ba4429,1,3
bdd606969,1,3
d111847a0,1,3
ab2bb4a0c,1,3
c9151664a,1,3
9e25c09b2,1,2
eabef1496,0,0
ff832cb7e,1,3
c29fca356,1,3
3de6bc035,1,3
854319675,1,3
51df78553,1,3
fb8efea32,1,2
dabe9ac5c,1,3
235572f38,1,1
40b53f6c2,1,2
972fba985,1,2
2c07c1abf,1,3
0f796d3f9,1,3
9951b9762,1,3
b96b7da59,1,3
71d834666,1,3
1a4464471,1,3
19d7de899,1,1
eb42f77fd,1,3
ab09748d1,1,3
98e211da3,1,3
d4aa3713a,1,3
32aa78316,1,3
6366b7f4a,1,1
c0771fde0,1,2
009239f92,1,3
b2056e185,1,3
4f678d1cf,1,1
b7d753c5a,1,2
2e85b81d7,1,3
400e57095,1,3
74088eee1,1,3
d6a2a2e37,0,0
4463622c8,1,3
848c1d759,1,1
6d4bdde4c,1,3
ebba4f83b,1,1
91d7bd3d7,1,2
4c1981df1,1,1
378406cf4,1,1
aecba8ecd,1,2
c9a00b80f,1,2
2398599fc,1,1
27e458086,1,3
7439df9c4,1,2
1d777bbcd,1,3
5e6c38ddf,1,2
8e77a97ac,1,1
6aeef2649,1,2
c9ff29578,1,3
ee590e762,1,1
6679c179c,1,3
2614882d1,1,3
fd2f64ea7,1,3
96e1f20e7,1,3
15a491e20,1,3
fe3a83fe5,1,3
e0dbd7901,1,3
ba7adcbe5,1,3
c93e37265,1,1
885b7eb9b,1,3
577de26db,1,1
4225add43,1,3
1076dcc35,1,3
29bf0cb2c,1,1
6984c8d7e,0,0
5980b0699,1,3
d30087066,1,2
4335b2207,1,2
d73b2a4c6,1,3
63ddd39f4,1,3
dc20a0cea,1,1
db24c8108,1,3
2c007007f,1,3
429296d6e,1,3
14c6c68e2,1,3
6593bd2a2,1,3
e8ec1a562,1,1
ef73ab8c6,1,1
afaadb62f,1,3
ca39f5e93,1,1
