Type,Name,Age,Breed1,Breed2,Gender,Color1,Color2,Color3,MaturitySize,FurLength,Vaccinated,Dewormed,Sterilized,Health,Quantity,Fee,State,RescuerID,VideoAmt,Description,PetID,PhotoAmt,AdoptionSpeed,name_available,description_available,name_char_count,description_char_count,description_word_count,sentiment_available,sentiment_score,sentiment_magnitude,sentiment_sentence_count,sentiment_token_count,sentiment_entity_count,metadata_available,metadata_image_count,vision_labels_per_image_mean,vision_label_score_mean,vision_label_score_max,vision_unique_label_count,vision_colors_per_image_mean,vision_crop_hints_per_image_mean,image_pixels_available,image_pixels_count,image_width_mean,image_width_max,image_height_mean,image_height_max,image_aspect_ratio_mean,image_aspect_ratio_max,image_resolution_pixels_mean,image_resolution_pixels_max,image_brightness_mean,image_brightness_max,image_contrast_mean,image_contrast_max,image_colorfulness_mean,image_colorfulness_max,image_edge_variance_mean,image_edge_variance_max,image_aspect_ratio_sd
1,Bear,2,307,0,1,1,2,7,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,"For serious adopter, please do sms or call for more details, thanks!",8b693ca84,7.0,1,1,1,4,68,12,1,0.8,0.8,1.0,0.0,3.0,1,7.0,8.714285714285714,0.7588783880327867,0.9790534,16.0,10.0,1.0,1,7.0,333.57142857142856,640.0,486.14285714285717,523.0,0.6792799098606938,1.2237093690248566,164045.7142857143,334720.0,110.48986,138.40683,50.309895,60.865383,49.65881218440508,83.48502971727748,2619.677,3482.4404,0.23077458584771857
2,Kali,3,264,0,2,1,2,5,3,3,1,1,2,1,1,50,41326,a9caef3f98e67bfac9093cca79e20b93,0,"Kali is a super playful kitten who is on the go the minute she wakes up. She is very quiet and only meows very rarely. She likes to cuddle when she is sleepy and also when she wakes up from a nap. As long as she has her toys, she keeps herself active and busy during the day. Would recommend you spend at least half an hour every night to play with her as it is her normal routine now. Would recommend that you house her alone as a single cat or with another kitten. She has had her second vaccination and deworming and needs another one next month. Serious adopters only please. Looking for a good forever home for Kali. For more info/photos please whatsapp",8e76c8e39,2.0,1,1,1,4,658,127,1,0.3,4.4,10.0,0.0,14.0,1,2.0,10.0,0.8631245645,0.99498093,12.0,10.0,1.0,1,2.0,315.0,360.0,480.0,480.0,0.65625,0.75,151200.0,172800.0,148.25035,167.51308,67.388435,75.10954,33.078121978669905,38.02281222968587,4638.2363,5177.2847,0.09375
1,Peanut,2,307,0,1,2,5,6,2,3,1,1,2,1,1,0,41326,db784cbcf321e1d8856b312638b94113,0,Peanut was an abused puppy until he was rescued. He was very scared of people but now he is a very happy and active puppy! He is a really loving puppy now. (: Lester Jenny Will you adopt him? ================================================== Adopters are required to vaccinate and neuter them. ==================================================,aaedd873d,1.0,2,1,1,6,345,46,1,0.4,2.9,6.0,0.0,6.0,1,1.0,9.0,0.8025634844444445,0.9019665,9.0,10.0,1.0,1,1.0,300.0,300.0,400.0,400.0,0.75,0.75,120000.0,120000.0,98.47961,98.47961,57.366234,57.366234,25.641789791972876,25.641789791972876,5005.224,5005.224,0.0
2,2 Mths Old Cute Kitties,2,265,0,3,1,6,7,1,2,2,2,3,1,7,0,41326,2c118b2a1d1b4cf1f735089c7c0a07c0,0,"Hi Pet Lovers! This is my first posting and I need help! 3 months ago we befriended a mother stray cat with 3 kittens in our area and we 'adopted' them but they come and go as they please. 2 months ago the mother gave birth to a litter of 7 cute kittens and we have been taking care of the mother and the kittens ever since in our home...in the ground floor bathroom! Some of the kittens look half-persian with long hair,evident also from the earlier stray batch we adopted. Looking for good caring homes...",4a9793dfb,1.0,1,1,1,23,507,99,1,0.4,2.6,6.0,0.0,21.0,1,1.0,5.0,0.86039358,0.9843975,5.0,10.0,1.0,1,1.0,640.0,640.0,475.0,475.0,1.3473684210526315,1.3473684210526315,304000.0,304000.0,158.15352,158.15352,61.431187,61.431187,25.353191489096673,25.353191489096673,2412.1873,2412.1873,0.0
1,Lost Dog,3,307,0,2,2,5,7,2,2,3,3,3,1,1,0,41401,b609c40c6c840db208b149a19b856f86,0,"Lost Dog Found (Bandar Menjalara, Kepong／Taman Bukit Maluri or Desa Park City) 迷途犬被尋獲 (甲洞孟加拉惹／武吉馬魯里／Desa Park City) Area lost puppy found 小狗被發現地點：Bandar Sri Menjalara, Kepong, KL, Malaysia 大馬吉隆坡甲洞孟加拉惹 How the lost dog found 狗兒如何被發現: The lost puppy entered my staying place itself. 迷途小狗自行進我居住地。 Condition 情況: 雖好像幾天沒進食。看起來健康。頸上系有紅帶。目前甲洞孟加拉惹住宅區保安處看顧。Few days without food. Looks healthy. Neck tied with red belt. Currently taken care by security guard of housing area of Bandar Menjalara.",c02be41e6,2.0,2,1,1,8,485,75,1,0.1,3.4,10.0,0.0,22.0,1,2.0,9.5,0.7653822131578948,0.9700916,11.0,10.0,1.0,1,2.0,271.0,271.0,480.0,480.0,0.5645833333333333,0.5645833333333333,130080.0,130080.0,128.37372,130.94197,37.26783,39.67253,23.681686663106305,23.911201938950114,2009.106,2177.9182,0.0
1,Max,78,218,205,1,1,7,0,2,2,3,3,3,1,1,0,41326,39112c637c80a6055e8ec544416abffe,0,"We moved out of our apartment to a landed home and there were many friendly strays in the neighbourhood. My grandma's neighbour was moving homes and was looking for a home for their pet.I pleaded with my mom to let us adopt him and he's fun-loving, he plays football and is a great goalie yet a loyal guardog. Now we are moving abroad and Max has no home.",1fd342e17,2.0,4,1,1,3,355,72,1,0.6,1.8,3.0,0.0,15.0,1,2.0,10.0,0.8174129535000001,0.977653,14.0,10.0,1.0,1,2.0,359.5,360.0,480.0,480.0,0.7489583333333334,0.75,172560.0,172800.0,129.9091,158.7314,71.12152,74.50444,29.395863608410423,33.289315981772205,1680.0364,1828.3304,0.001041666666666663
2,Brownie,6,266,0,2,2,0,0,1,1,1,1,1,1,1,0,41326,58e3aa0b4b78e8879f81774ede0646fe,0,to be spayed on /12 adorable & friendly,b38a74866,1.0,3,1,1,7,39,7,1,0.9,0.9,1.0,0.0,0.0,1,1.0,10.0,0.8063190460000002,0.99214435,10.0,10.0,1.0,1,1.0,300.0,300.0,400.0,400.0,0.75,0.75,120000.0,120000.0,94.57086,94.57086,54.752575,54.752575,26.684189035845296,26.684189035845296,4180.154,4180.154,0.0
1,Blackie,8,307,307,2,2,0,0,2,1,2,1,1,1,1,10,41330,4e3dec1544d1407fce5d65fd0f037e26,0,shes active... she can obey wht command that u told her.. example shakeshand . sleep and eat .. command in english n tamil :).. she will bark if thr suspicius ppl... good for guard act like a male dog..she will sleept in mattres or cradle..whn she eat u can even touch her...we let her because no time to care she... so anyybody intrested to addopt plss call to.. im Mr.Tom..thx petfinder..,f9d07d5fa,2.0,4,1,1,7,390,73,1,0.3,1.0,3.0,0.0,15.0,1,2.0,8.5,0.7521101688235294,0.9419774,11.0,10.0,1.0,1,2.0,225.0,225.0,300.0,300.0,0.75,0.75,67500.0,67500.0,162.68178,167.26317,60.713097,61.882053,28.511019191912496,34.255868096006886,6592.6504,6654.386,0.0
1,Beauty,2,307,0,2,1,0,0,2,1,2,1,2,1,1,0,41401,9238e4f44c71a75282e62f7136c6b240,0,"This cutie dumped by it's owner at the market and almost kill by the car, after kicking by the guy, trying to hide herself for safe under the car while the driver is ready to run, ran to her hit on the car to notice the driver stop before i pulled her out and safe her. Luckily the kindness factory guy is allowed me to keep her there, cause my shop is full with 19 dogs and cats, situation not allow me to take in more, due to my work i could only feed her once a day and clean her cage. She's a black beauty, about 2months +, if anyone able to give her a forever home, please do directly contact with me or sms me,thanks! And PLEASE the more i can rehome, the more i can rescue!",1c92ce464,8.0,2,1,1,6,680,141,1,0.1,1.8,4.0,0.0,23.0,1,8.0,10.0,0.8149668282499999,0.9811702,13.0,10.0,1.0,1,8.0,325.0,400.0,375.0,400.0,0.8958333333333333,1.3333333333333333,120000.0,120000.0,115.85243,153.9957,77.903305,81.96888,21.35803495002778,23.186146430164108,2526.628,3348.7761,0.25259074277046123
2,,1,266,0,3,1,2,7,1,1,2,2,2,1,5,0,41326,b752f78276215f44581eeb6eea1e63bc,0,"Birth Date: Oct 30th Kitty 1, Melly -Female Sangat comel and vokal. Kitty 2, Tootsie - Male Badan putih, tapi ekor hitam and telinga kekuning-kuningan, macam kucing 3 color. Kitty 3, Bo -Male Corak badan 3 tompok, he is one of the most quite and lightest kitty of the litter tapi jantan. Kitty 4, Michii - Female Macam abang kembar, she is very subtle and sweet, have 1 big spot behind her back and 1 super cute spot belakang telinga. Kitty 5, Missy - Female. She is very curious and adventurous. Very lovable, with sweet voice !",b10e7605a,1.0,4,0,1,0,529,94,0,,,,,,1,1.0,10.0,0.837987459,0.99000907,10.0,10.0,1.0,1,1.0,200.0,200.0,400.0,400.0,0.5,0.5,80000.0,80000.0,77.14273,77.14273,50.30121,50.30121,28.955572871277266,28.955572871277266,3747.7056,3747.7056,0.0
1,Godiva,12,307,0,2,2,7,0,2,2,2,1,1,1,1,0,41326,a042471e0f43f2cf707104a1a138a7df,0,"Godiva was rescued in Serdang residential area. Her group of friends were caught by dog catcher team and she is the only one left. Being stray, she is not afraid of human touch, she is believed to be fed by some household throughout the period. Godiva looks gorgeous and her unigue colour coats is the eye - catcher. Medium length hair, she is absolutely beautiful and would be a good loving companion. Please do give her a good home.",6436c1a59,7.0,2,1,1,6,434,78,1,0.3,2.2,6.0,0.0,14.0,1,7.0,8.142857142857142,0.7772816205263158,0.9796938,13.0,10.0,1.0,1,7.0,400.0,400.0,300.0,300.0,1.3333333333333333,1.3333333333333333,120000.0,120000.0,113.8759,119.06594,53.429596,58.663654,34.631833150491225,52.78384780745059,3284.8503,3624.9443,0.0
1,Tigers,3,307,0,2,6,0,0,2,1,2,1,2,1,3,0,41326,fa7cd6caa034d4332fc75d70807e83a3,0,"Three puppies abandoned on the street, picked up and fed properly.Now active,healthy and cute.",234a5a54c,5.0,4,1,1,6,94,16,1,0.6,0.6,1.0,0.0,2.0,1,5.0,7.2,0.772989255,0.96159846,11.0,10.0,1.0,1,5.0,365.0,400.0,300.0,300.0,1.2166666666666666,1.3333333333333333,109500.0,120000.0,101.334854,111.53895,69.20006,76.21899,37.89864952039693,43.96756453049499,3328.8164,3780.1687,0.2333333333333333
2,"Kenit, Kenot, Techit, Keyad, Owen",0,114,0,3,3,6,7,2,2,2,2,3,1,10,0,41401,97be67995b53f86f64be212c867009fa,0,"My cats name is Kenit, Kenot,Owen, Keyad, Manja, Techit and 4 Kittens, Baby and family. All my cats are pamper.",1bc0f89d8,0.0,4,1,1,33,111,21,1,0.5,1.1,2.0,0.0,11.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
1,Donut,10,307,117,2,1,2,7,2,2,1,1,1,1,1,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Donut is a friendly doggie and very domesticated. She will bark at strangers and will not run out of the house. Needs a cage as her sleeping bed, she likes to lie in there. Her former owner abandoned her after she had demodex. She is cured now. Vaccination and neutering fees to be borne by adopter. Please call if you can give her a home.",1bf24d8be,0.0,4,1,1,5,339,65,1,0.2,3.4,7.0,0.0,11.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
2,Cikenet,3,266,0,1,2,7,0,1,1,2,1,2,1,1,0,41401,b8853c71b981104f1ef126e51387b616,0,"hello cikenets fans, i just wanna inform that cikenet is not lost, i just found out that he is adopted by one of this apartment resident, he become an indoor cat now, he is in good hands and im happy for him..",988988d5b,19.0,1,1,1,7,209,42,1,0.8,0.8,1.0,0.0,6.0,1,19.0,9.789473684210526,0.7784040460752688,0.9948942,40.0,10.0,1.0,1,19.0,375.6842105263158,400.0,332.4736842105263,400.0,1.1698813956352792,1.6597510373443984,123273.36842105263,148800.0,75.89639,147.4933,55.808426,71.42203,33.1465275283404,106.57350635321251,1461.4398,2934.6511,0.2661901754664039
2,Garfield,36,285,251,1,3,0,0,3,2,1,1,1,1,1,0,41326,001e42763024f9d4abe31e79472b1827,0,"Garfield is a very large cat. Needs daily grooming. He has been groomed short and deflea. Very good wt other cats. Calm cat. He is neutered, vaccinated and dewormed. Must be kept indoors. Needs grooming and brushing as his fur is very soft and thick. If you are interested to adopt Garfield, please give me a call or sent me an email. thank you.",cf7d3eec0,3.0,2,1,1,8,345,64,1,0.2,3.1,10.0,0.0,10.0,1,3.0,10.0,0.799699148,0.9939093,13.0,10.0,1.0,1,3.0,300.0,300.0,400.0,400.0,0.75,0.75,120000.0,120000.0,111.02118,112.378265,40.70819,46.380974,42.339581841954924,43.1091987842524,1401.4435,1775.6675,0.0
2,No Name,2,285,265,1,3,0,0,2,2,2,2,2,1,1,0,41401,1b9bb5275677d26b00604f24439c81fc,0,healthy toilet trained cute easy to look after playful,85fc3c314,11.0,1,1,1,7,54,9,1,0.8,0.8,1.0,0.0,1.0,1,11.0,10.0,0.8502914280909091,0.9941655,27.0,10.0,1.0,1,11.0,400.0,400.0,267.0,267.0,1.4981273408239701,1.4981273408239701,106800.0,106800.0,102.57873,122.571465,47.885376,64.43714,35.19415440901913,45.89985734532051,1526.943,3645.1804,0.0
2,No Name,1,266,0,2,1,0,0,2,1,2,2,2,1,1,0,41326,2f846fb8f87a25678374e193559d83c9,0,"Just saved this kitten from the street, but i have too many dogs at home, could not adopt her.",efbf1703a,2.0,2,1,1,7,94,19,1,0.0,0.0,1.0,0.0,4.0,1,2.0,8.0,0.72516315125,0.9914589,16.0,10.0,1.0,1,2.0,360.0,360.0,480.0,480.0,0.75,0.75,172800.0,172800.0,107.49214,108.61109,66.71065,71.12224,27.71341651871488,28.725558798843586,4321.9927,6305.397,0.0
1,Hunter,14,189,0,1,1,2,0,3,1,1,1,2,1,1,1,41326,cbc97ee98ae458e5deecedbc648e90d2,0,"healthy and active , skinny and tall, as the mother (doberman) fully vaccinated , dewormed. Authorities not allowed have more than 1 dog at home, they dont issue license .",7843a9dca,0.0,3,1,1,6,171,27,1,0.3,0.6,2.0,0.0,5.0,0,,,,,,,,0,,,,,,,,,,,,,,,,,,
2,Pepper,1,266,0,2,2,7,0,1,1,2,1,2,1,1,0,41327,86552e2f34c929a01f7841cbd8865b20,0,"This kitten found at the roadside. Stay there and keep meowing. Kitty like to follow human feet. When we stand still, kitty just lean on our feed and sit quietly. Only for indoor adoption. And the adopter must take the kitten to vaccination (start from 2 months old) and neuter (at 6 months old).",d341fbfd6,1.0,2,1,1,6,296,54,1,0.2,1.3,6.0,0.0,11.0,1,1.0,10.0,0.822091508,0.9919981,10.0,10.0,1.0,1,1.0,400.0,400.0,400.0,400.0,1.0,1.0,160000.0,160000.0,131.06807,131.06807,70.9863,70.9863,60.55537203225477,60.55537203225477,5142.619,5142.619,0.0
1,Benji & Kimi,4,205,218,3,2,7,0,1,2,1,1,1,1,2,0,41326,aa66486163b6cbc25ea62a34b11c9b91,0,"Benji and his sister Kimi are a handsome pair of shitzu cross. Both have cute shaggy face, with brown patches over their white body. Very manja and need lots of attention and love. Only as indoor pets and no caging.",1a76190c5,5.0,3,1,1,12,215,40,1,0.3,1.9,4.0,0.0,14.0,1,5.0,9.8,0.7649885026530612,0.9685776,19.0,10.0,1.0,1,5.0,340.0,400.0,360.0,400.0,0.9833333333333332,1.3333333333333333,120000.0,120000.0,121.66225,134.36134,55.448242,65.07821,26.072276195323617,52.65458610796097,1777.0778,2064.6985,0.28577380332470403
2,Kekok,1,266,0,1,1,0,0,1,1,2,2,2,1,1,0,41361,3cbe8b84e5b4852b5923c348fefcdf31,0,tataO betine ke jantan...ank pd ibu gak,edb920079,1.0,1,1,1,5,39,8,0,,,,,,1,1.0,10.0,0.782994843,0.97192925,10.0,10.0,1.0,1,1.0,400.0,400.0,266.0,266.0,1.5037593984962405,1.5037593984962405,106400.0,106400.0,106.386856,106.386856,47.116684,47.116684,23.827471054372907,23.827471054372907,2891.6467,2891.6467,0.0
1,BoiBoi,24,307,0,1,5,7,0,2,1,1,1,2,1,5,0,41326,2147467fcd35e7a3bc23b9edcffc5702,0,"Boiboi is rescued by my daughter 2 years ago from outside her tuition place. He was sick and abandoned alone without the mother. Now he is very healthy, playful and gentle. He is not only playful but also toilet trained and well behave. I hope he can have new family with full of love and caring.",543130f60,1.0,4,1,1,6,296,56,1,0.4,3.7,5.0,0.0,7.0,1,1.0,10.0,0.748485952,0.9407697,10.0,10.0,1.0,1,1.0,480.0,480.0,480.0,480.0,1.0,1.0,230400.0,230400.0,129.771,129.771,66.77052,66.77052,38.56049147157273,38.56049147157273,4263.571,4263.571,0.0
2,,4,266,0,2,1,6,7,1,1,2,2,2,1,2,0,41326,7d58438884ab468dce87c7e252bbd6e4,0,"Two gorgeous kittens have just lost their mummy, and are looking for a loving home. Already on solid food. Potential adopters must be willing to spay, vaccinate, and love them as indoor cats. They've been together since birth, so preference will be given to those willing to welcome both. Existing experience with cats is also a big plus.",9415bc79e,7.0,3,0,1,0,338,59,1,0.6,3.1,5.0,0.0,11.0,1,7.0,10.0,0.8039442915714287,0.9949251,18.0,10.0,1.0,1,7.0,600.0,640.0,457.42857142857144,480.0,1.3298678445737266,1.7777777777777777,273554.28571428574,307200.0,113.11986,165.49063,64.02131,90.32808,26.91898447562423,41.22710881514095,3101.5288,4275.5835,0.2805262194989474
2,Kitten Girl Girl,3,266,0,2,1,7,0,1,1,1,2,2,1,1,1,41327,6e4f4078c85aaa01b4059fbf679e6695,0,Open for adoption!!!,4c6fe4100,5.0,4,1,1,16,20,3,1,0.0,0.0,1.0,0.0,1.0,1,5.0,10.0,0.7496437911999999,0.99348015,17.0,10.0,1.0,1,5.0,400.0,400.0,300.0,300.0,1.3333333333333333,1.3333333333333333,120000.0,120000.0,130.13495,138.02528,61.313698,67.88124,17.422504599203812,23.753678803349615,2134.7747,2617.755,0.0
2,Tom,12,264,0,2,6,0,0,2,3,2,2,2,1,1,0,41326,76f0a2be251f10691a62e16409b95e47,0,email for more enquiry,0737e4f11,5.0,1,1,1,3,22,4,1,0.0,0.0,1.0,0.0,2.0,1,5.0,10.0,0.7667127241999999,0.99458134,16.0,10.0,1.0,1,5.0,399.2,400.0,341.2,400.0,1.205881007881008,1.465201465201465,136160.0,158400.0,119.4031,148.17468,47.196976,52.09359,33.525111306166025,44.79862183596874,2072.7878,2262.8293,0.2148829063418435
2,,24,265,292,2,1,4,0,2,2,1,1,3,1,3,0,41326,90b00f90ffdf9ec1cac529a2bbef3ecc,0,she fat n healthy. in door cat,61fa73996,2.0,4,0,1,0,30,7,1,0.0,0.1,2.0,0.0,1.0,1,2.0,10.0,0.7773273239999999,0.99424714,11.0,10.0,1.0,1,2.0,360.0,360.0,480.0,480.0,0.75,0.75,172800.0,172800.0,119.14101,129.08978,55.215176,57.719337,16.178086731000658,17.152085046370928,2288.1587,2327.4983,0.0
2,Comel,2,265,0,2,2,0,0,1,2,2,2,2,1,1,0,41326,b020ad4c866a9f17be0ab3beaa38c78c,0,si comel ini memerlukan seseorang yang boleh menyayangi n menjaganya. she is a lovely cat :) love to be with people :D perlu di adopt dengan segera kerana keadaan sekarang bahaya baginya untuk tinggal di sini.,eabb13cea,3.0,1,1,1,5,209,35,0,,,,,,1,3.0,10.0,0.7976996206666666,0.99293613,16.0,10.0,1.0,1,3.0,333.3333333333333,400.0,366.6666666666667,400.0,0.9444444444444443,1.3333333333333333,120000.0,120000.0,119.92877,135.26201,59.3997,66.51318,25.398644162673225,30.74952405740386,2132.003,2402.2922,0.27498597046143514
1,WHISKY,12,307,0,1,1,0,0,2,1,2,2,2,1,1,0,41336,31de822d0adce3e2dad7dcedfbee2ba8,0,"This is Whisky, rescued from the streets. He is looking for a loving home. He is very friendly and doesn't bark unnecessarily. Gets along quite well with another dog. Please contact me if you wish to adopt him. No caging up or tying up.",deff069a2,4.0,1,1,1,6,236,45,1,0.4,3.0,6.0,0.0,5.0,1,4.0,9.5,0.733409905263158,0.9676823,20.0,10.0,1.0,1,4.0,349.75,400.0,350.0,400.0,1.0410416666666666,1.3333333333333333,119900.0,120000.0,121.90693,129.69893,63.47267,70.69981,42.520085447542314,48.33154754828705,3404.3945,3901.9756,0.2922930030855644
